Ingredient,Ingredient_Code,Calories,Taste_Rating,Fiber_Content,Is_Healthy,Weight_Contribution_Level
Almonds,0,149.71,6.56,3.89,0,high
Broccoli,3,254.11,9.82,0.72,0,high
Spinach,8,249.59,6.47,1.02,0,medium
Salmon,7,87.68,6.73,3.57,1,high
Almonds,0,177.05,5.99,2.47,0,medium
Sweet_Potato,9,223.95,1.82,3.77,1,low
Chicken_Breast,4,264.59,7.54,0.51,1,low
Almonds,0,131.49,5.93,2.68,0,low
Spinach,8,105.06,5.06,1.89,0,low
Salmon,7,227.79,9.19,2.29,0,low
Broccoli,3,252.38,3.68,3.02,1,medium
Spinach,8,137.17,5.71,2.51,0,low
Spinach,8,74.04,7.28,2.7,1,medium
Chicken_Breast,4,285.13,8.17,2.43,1,low
Quinoa,6,149.39,5.13,2.04,0,medium
Salmon,7,179.44,8.58,3.86,0,low
Banana,2,259.43,7.92,0.06,1,low
Spinach,8,218.92,1.6,2.99,1,medium
Quinoa,6,233.8,1.41,2.83,1,medium
Banana,2,102.27,6.59,3.58,0,low
Salmon,7,185.36,4.13,3.0,1,high
Apple,1,223.95,2.88,4.13,0,low
Sweet_Potato,9,107.14,6.22,4.8,1,low
Quinoa,6,93.74,4.07,1.71,1,high
Eggs,5,295.54,5.84,1.14,0,medium
Apple,1,179.16,5.14,2.12,1,low
Sweet_Potato,9,115.21,6.26,1.44,0,medium
Chicken_Breast,4,299.06,4.6,3.07,0,medium
Almonds,0,291.35,7.28,4.56,1,medium
Broccoli,3,189.57,2.62,0.7,0,low
Eggs,5,270.66,7.27,0.5,0,low
Chicken_Breast,4,97.18,4.7,1.28,1,medium
Salmon,7,119.72,8.87,3.63,0,high
Chicken_Breast,4,225.09,5.64,2.96,0,medium
Almonds,0,261.67,9.76,0.51,0,low
Salmon,7,264.08,6.42,4.59,1,medium
Eggs,5,151.13,3.01,3.95,0,medium
Almonds,0,271.94,8.4,0.12,1,low
Banana,2,262.73,4.11,3.26,1,low
Broccoli,3,283.91,4.13,3.86,0,medium
Eggs,5,246.34,1.29,1.87,0,medium
Banana,2,217.25,5.94,0.34,0,low
Sweet_Potato,9,195.17,5.81,0.39,1,low
Eggs,5,143.07,4.2,0.52,0,low
Sweet_Potato,9,285.03,9.05,4.2,0,low
Salmon,7,293.42,2.16,4.55,0,high
Banana,2,120.98,3.97,0.61,0,high
Broccoli,3,126.34,3.89,1.18,0,low
Almonds,0,171.4,1.83,0.83,1,high
Spinach,8,162.11,5.33,0.93,1,medium
Chicken_Breast,4,298.61,7.19,4.19,0,medium
Apple,1,93.98,5.6,1.66,0,medium
Broccoli,3,54.52,2.41,1.56,0,low
Banana,2,173.47,4.4,1.14,0,low
Spinach,8,94.71,1.02,3.04,1,medium
Broccoli,3,141.62,8.81,1.9,0,medium
Banana,2,236.04,1.76,3.72,1,low
Quinoa,6,230.23,6.38,1.03,1,high
Quinoa,6,127.02,9.88,3.94,0,medium
Sweet_Potato,9,185.64,5.83,3.02,1,low
Broccoli,3,177.2,9.32,0.57,1,high
Quinoa,6,209.08,3.13,2.07,1,high
Banana,2,112.62,7.84,4.32,1,high
Sweet_Potato,9,197.47,5.78,4.61,0,low
Banana,2,294.72,7.48,2.33,0,medium
Sweet_Potato,9,171.69,1.56,2.4,1,medium
Broccoli,3,276.52,2.33,4.59,0,medium
Spinach,8,158.6,2.2,2.94,0,high
Almonds,0,137.52,7.18,0.16,0,medium
Eggs,5,211.28,8.6,4.56,0,high
Spinach,8,217.23,7.75,1.24,0,high
Salmon,7,266.04,1.27,2.89,1,high
Banana,2,107.55,8.8,0.83,0,low
Salmon,7,174.8,4.19,0.17,0,low
Spinach,8,193.0,4.57,1.56,0,low
Sweet_Potato,9,242.14,1.94,3.9,0,high
Eggs,5,60.9,7.64,1.39,1,low
Eggs,5,298.64,2.64,1.1,1,medium
Apple,1,167.49,6.08,1.06,1,low
Eggs,5,119.89,8.57,2.58,1,medium
Almonds,0,270.87,1.8,4.88,0,high
Eggs,5,236.93,5.82,2.29,1,high
Spinach,8,288.27,3.1,2.79,0,low
Apple,1,132.69,4.09,4.3,0,high
Spinach,8,188.19,5.27,2.68,0,medium
Spinach,8,193.07,4.2,0.92,0,low
Chicken_Breast,4,295.08,6.84,1.5,0,medium
Apple,1,68.84,5.32,1.55,1,medium
Spinach,8,126.42,6.26,1.99,1,low
Chicken_Breast,4,97.73,7.63,2.13,1,medium
Chicken_Breast,4,117.12,6.02,4.0,1,low
Apple,1,171.32,6.28,1.75,0,low
Salmon,7,143.17,6.08,2.34,1,low
Sweet_Potato,9,148.67,4.41,3.12,0,low
Almonds,0,261.05,4.04,1.89,1,low
Sweet_Potato,9,282.5,9.1,4.18,0,medium
Eggs,5,67.6,6.47,2.94,0,medium
Almonds,0,102.23,3.2,1.47,1,medium
Eggs,5,217.79,5.48,3.57,0,high
Spinach,8,139.66,3.97,2.64,0,medium
Banana,2,113.54,9.4,2.67,1,medium
Apple,1,123.82,1.07,2.41,0,low
Almonds,0,130.64,3.03,2.49,1,low
Almonds,0,262.17,4.29,3.83,1,medium
Spinach,8,84.16,5.39,0.51,1,low
Salmon,7,227.23,8.66,1.67,0,medium
Chicken_Breast,4,188.2,1.79,0.38,0,low
Spinach,8,124.13,8.25,3.77,0,high
Quinoa,6,154.95,1.5,1.36,1,high
Chicken_Breast,4,114.05,8.58,4.49,0,medium
Apple,1,202.88,1.46,2.63,1,low
Chicken_Breast,4,70.4,1.16,4.0,1,low
Salmon,7,51.3,7.27,4.89,0,high
Chicken_Breast,4,206.97,9.98,4.2,1,high
Apple,1,98.57,9.07,4.33,0,low
Salmon,7,67.74,6.18,2.04,0,medium
Sweet_Potato,9,149.2,9.26,2.76,0,low
Almonds,0,62.69,1.05,1.27,0,low
Almonds,0,271.65,9.78,0.98,0,low
Eggs,5,56.9,5.42,2.53,1,low
Sweet_Potato,9,194.72,7.51,2.98,1,high
Sweet_Potato,9,159.62,8.39,1.7,1,medium
Chicken_Breast,4,218.01,7.47,2.85,0,low
Almonds,0,132.04,5.82,4.44,0,medium
Apple,1,88.76,5.29,2.78,0,high
Broccoli,3,295.46,8.55,3.6,1,high
Broccoli,3,259.73,2.85,4.03,0,low
Salmon,7,265.1,9.71,4.94,1,low
Almonds,0,112.56,7.4,3.02,1,low
Almonds,0,59.71,2.8,4.03,0,low
Broccoli,3,125.82,7.63,4.81,0,low
Almonds,0,184.27,5.77,4.72,1,medium
Chicken_Breast,4,131.66,7.37,0.71,0,low
Quinoa,6,256.97,7.91,2.03,1,low
Banana,2,117.89,1.79,1.62,0,low
Sweet_Potato,9,291.31,5.55,0.43,0,low
Eggs,5,164.32,9.39,3.17,1,low
Salmon,7,260.51,3.89,3.68,0,medium
Quinoa,6,98.6,6.34,4.24,1,low
Broccoli,3,152.84,4.32,0.61,0,low
Sweet_Potato,9,224.88,5.09,4.38,1,low
Almonds,0,84.59,5.94,3.21,1,medium
Eggs,5,83.19,5.94,3.52,0,low
Almonds,0,292.38,2.82,4.55,1,low
Apple,1,228.65,7.16,3.12,0,low
Apple,1,60.27,1.79,1.68,0,high
Eggs,5,149.71,2.25,4.13,0,low
Eggs,5,158.38,1.02,1.82,1,medium
Broccoli,3,236.01,2.05,0.17,1,high
Eggs,5,112.72,5.26,4.15,0,low
Chicken_Breast,4,96.08,6.45,1.73,0,high
Almonds,0,70.22,8.15,3.87,1,medium
Quinoa,6,157.08,1.96,1.81,0,low
Spinach,8,222.12,8.66,4.31,0,low
Eggs,5,64.55,7.71,1.1,1,medium
Salmon,7,278.8,4.68,4.87,0,medium
Apple,1,160.59,9.4,3.9,1,high
Chicken_Breast,4,109.95,9.92,0.57,0,low
Sweet_Potato,9,73.47,2.85,2.83,1,medium
Spinach,8,95.72,4.41,4.93,0,low
Quinoa,6,283.65,9.34,2.36,0,high
Spinach,8,209.57,7.49,0.91,1,medium
Eggs,5,179.17,1.43,2.42,0,low
Broccoli,3,214.28,8.03,2.56,1,low
Apple,1,158.92,8.45,3.71,0,low
Apple,1,232.51,7.75,3.49,1,low
Sweet_Potato,9,61.93,8.2,2.01,1,low
Broccoli,3,191.51,8.43,1.09,1,medium
Almonds,0,89.66,2.68,3.23,1,medium
Banana,2,80.04,3.12,2.11,0,medium
Chicken_Breast,4,135.47,6.7,0.66,0,high
Apple,1,72.95,9.17,4.5,1,medium
Salmon,7,73.54,3.85,3.46,1,medium
Apple,1,127.85,6.29,3.42,1,medium
Spinach,8,294.88,7.15,4.11,0,low
Apple,1,93.83,5.07,2.65,0,low
Apple,1,54.29,7.42,4.08,0,low
Banana,2,240.84,9.1,2.49,0,low
Banana,2,251.73,6.62,0.34,1,low
Quinoa,6,136.58,5.86,2.03,1,low
Almonds,0,166.17,4.95,2.49,1,high
Salmon,7,212.44,6.2,3.6,0,medium
Apple,1,62.01,4.2,0.53,0,low
Apple,1,287.29,4.52,0.7,0,low
Chicken_Breast,4,271.67,5.79,1.32,1,low
Banana,2,115.22,1.6,1.33,1,medium
Salmon,7,53.83,3.06,3.66,0,medium
Sweet_Potato,9,283.36,5.89,1.25,1,high
Quinoa,6,175.26,4.88,3.17,0,low
Almonds,0,184.84,4.0,2.47,0,high
Broccoli,3,220.99,7.57,2.87,1,high
Almonds,0,203.96,7.24,4.19,0,low
Spinach,8,285.97,2.5,2.02,1,high
Apple,1,286.06,8.91,3.85,0,medium
Quinoa,6,266.8,5.46,2.11,1,medium
Spinach,8,209.1,7.67,1.77,1,low
Salmon,7,250.24,6.16,4.79,1,high
Broccoli,3,219.29,9.98,0.92,0,medium
Banana,2,193.34,7.77,0.45,0,high
Quinoa,6,82.13,7.36,3.85,1,high
